inspection_id,mean_ndvi
54452,0.17246681451797485
54453,0.20401175320148468
54454,0.2240144908428192
54455,0.19890719652175903
54456,0.30201268196105957
54457,0.34057196974754333
54458,0.2035653293132782
54459,0.17023830115795135
54460,0.20736905932426453
54461,0.1593654751777649
54462,0.2809619903564453
54463,0.30967894196510315
54464,0.17142893373966217
54465,0.22708740830421448
54466,0.20933136343955994
54467,0.327364057302475
54468,0.26576298475265503
54469,0.25725725293159485
54470,0.32256630063056946
54471,0.22201204299926758
54472,0.2565079927444458
54473,0.29635146260261536
54474,0.16530568897724152
54475,0.20176590979099274
54476,0.21770446002483368
54477,0.29426994919776917
54478,0.28003573417663574
54479,0.2476276457309723
54480,0.24620823562145233
54481,0.2685000002384186
54482,0.32850053906440735
54483,0.3341768682003021
54484,0.2443327009677887
54485,0.28575876355171204
54486,0.3189954459667206
54487,0.2899376451969147
54488,0.36009055376052856
54489,0.324664443731308
54490,0.18372848629951477
54491,0.2646861970424652
54492,0.24867093563079834
54493,0.3299393355846405
54494,0.32877933979034424
54495,0.2812821865081787
54496,0.29836615920066833
54497,0.25535961985588074
54498,0.2519758641719818
54499,0.2586723864078522
54500,0.21862995624542236
54501,0.22081905603408813
54502,0.22676363587379456
54503,0.2488689422607422
54504,0.17839400470256805
54505,0.20110321044921875
54506,0.13430558145046234
54507,0.14041481912136078
54508,0.14588142931461334
54509,0.1522592455148697
54510,0.15534798800945282
54511,0.15403592586517334
54512,0.17530237138271332
54513,0.17748750746250153
54514,0.17491227388381958
54515,0.17841391265392303
54516,0.170261412858963
54517,0.14892461895942688
54518,0.13701879978179932
54519,0.14178627729415894
54520,0.15358813107013702
54521,0.2247740924358368
54522,0.21753425896167755
54523,0.22427016496658325
54524,0.20949608087539673
54525,0.20935659110546112
54526,0.20939165353775024
54527,0.1921323835849762
54528,0.1666449010372162
54529,0.1682146191596985
54530,0.13712343573570251
54531,0.14240331947803497
54532,0.14108465611934662
54533,0.16722729802131653
54534,0.19951385259628296
54535,0.21037521958351135
54536,0.18586750328540802
54537,0.17878679931163788
54538,0.14875666797161102
54539,0.1399892419576645
54540,0.17703291773796082
54541,0.1501891016960144
54542,0.15852753818035126
54543,0.15914873778820038
54544,0.16207221150398254
54545,0.1548018753528595
54546,0.14327004551887512
54547,0.15087318420410156
54548,0.16290885210037231
54549,0.17893968522548676
54550,0.19669397175312042
54551,0.17331159114837646
54552,0.1766737997531891
54553,0.17750734090805054
54554,0.19082292914390564
54555,0.21596659719944
54556,0.23890197277069092
54557,0.2278277426958084
54558,0.2246697098016739
54559,0.22650572657585144
54560,0.16169926524162292
54561,0.16458235681056976
54562,0.12785647809505463
54563,0.14778940379619598
54564,0.16362637281417847
54565,0.16895247995853424
54566,0.1875152587890625
54567,0.19186556339263916
54568,0.21358215808868408
54569,0.19478628039360046
54570,0.18244004249572754
54571,0.19700637459754944
54572,0.18500550091266632
54573,0.1802467554807663
54574,0.1710207313299179
54575,0.1361762136220932
54576,0.12864579260349274
54577,0.11932054907083511
54578,0.10105523467063904
54579,0.10377182066440582
54580,0.11410656571388245
54581,0.12418446689844131
54582,0.14203962683677673
54583,0.15814155340194702
54584,0.1702365279197693
54585,0.1766943484544754
54586,0.17719167470932007
54587,0.30873599648475647
54588,0.35894137620925903
54589,0.34507206082344055
54590,0.2853787839412689
54591,0.32109692692756653
54592,0.3602948784828186
54593,0.39067134261131287
54594,0.4081295430660248
54595,0.33848851919174194
54596,0.3484162986278534
54597,0.31736990809440613
54598,0.19943073391914368
54599,0.2594973146915436
54600,0.4448598325252533
54601,0.2160024791955948
54602,0.17150169610977173
54603,0.16541670262813568
54604,0.19971269369125366
54605,0.22967566549777985
54606,0.19268731772899628
54607,0.23890264332294464
54608,0.21076571941375732
54609,0.20995476841926575
54610,0.16110801696777344
54611,0.22954541444778442
54612,0.2082962989807129
54613,0.18072184920310974
54614,0.1833527684211731
54615,0.24222725629806519
54616,0.21119780838489532
54617,0.2997337579727173
54618,0.26343241333961487
54619,0.26290756464004517
54620,0.26465117931365967
54621,0.2585841715335846
54622,0.26331543922424316
54623,0.29766806960105896
54624,0.26772570610046387
54625,0.2359587848186493
54626,0.2147795557975769
54627,0.21775735914707184
54628,0.21211585402488708
54629,0.20813967287540436
54630,0.20557162165641785
54631,0.21101334691047668
54632,0.22410330176353455
54633,0.21980765461921692
54634,0.26006633043289185
54635,0.3479137122631073
54636,0.2165578156709671
54637,0.23760807514190674
54638,0.2558511197566986
54639,0.2558633089065552
54640,0.22775058448314667
54641,0.24478140473365784
54642,0.2634027600288391
54643,0.26343613862991333
54644,0.22533418238162994
54645,0.25429537892341614
54646,0.24741341173648834
54647,0.22058652341365814
54648,0.21118442714214325
54649,0.1767992526292801
54650,0.2064409703016281
54651,0.2134220004081726
54652,0.23947922885417938
54653,0.21558623015880585
54654,0.2009768784046173
54655,0.23363064229488373
54656,0.2715580463409424
54657,0.3386661112308502
54658,0.32012370228767395
54659,0.2955155074596405
54660,0.21022500097751617
54661,0.21802018582820892
54662,0.23577995598316193
54663,0.20718441903591156
54664,0.17102164030075073
54665,0.16978664696216583
54666,0.27816781401634216
54667,0.18890166282653809
54668,0.1675889641046524
54669,0.28644368052482605
54670,0.23874318599700928
54671,0.21353688836097717
54672,0.21055054664611816
54673,0.21955843269824982
54674,0.23562529683113098
54675,0.21149621903896332
54676,0.20943303406238556
54677,0.14137215912342072
54678,0.19494308531284332
54679,0.1955977976322174
54680,0.177056223154068
54681,0.17423078417778015
54682,0.15663288533687592
54683,0.2975813150405884
54684,0.3132433295249939
54685,0.12898766994476318
54686,0.19909138977527618
54687,0.2657938003540039
54688,0.2709415853023529
54689,0.37329909205436707
54690,0.31225842237472534
54691,0.3221657872200012
54692,0.27340948581695557
54693,0.27082329988479614
54694,0.23181027173995972
54695,0.20114897191524506
54696,0.1977551430463791
54697,0.20185519754886627
54698,0.16706272959709167
54699,0.19157420098781586
54700,0.15509602427482605
54701,0.13920029997825623
54702,0.15353037416934967
54703,0.14681106805801392
54704,0.14595329761505127
54705,0.13435593247413635
54706,0.1718561053276062
54707,0.21136225759983063
54708,0.22380979359149933
54709,0.2748255729675293
54710,0.17479471862316132
54711,0.18095925450325012
54712,0.2180575281381607
54713,0.26895707845687866
