inspection_id,Date,year,month,status,geometry,mean_ndvi
13571,2019-10-02,2019,10,Compliant,"POLYGON ((-4950.50652343412 -374998.3973326321, -4879.298517678849 -374998.3973326321, -4879.298517678849 -374922.232748488, -4950.50652343412 -374922.232748488, -4950.50652343412 -374998.3973326321))",0.4054429233074188
13572,2019-10-02,2019,10,Compliant,"POLYGON ((-4486.968298979 -374908.3066637158, -4401.105170921548 -374908.3066637158, -4401.105170921548 -374836.87185832753, -4486.968298979 -374836.87185832753, -4486.968298979 -374908.3066637158))",0.5099709033966064
13573,2019-10-02,2019,10,Compliant,"POLYGON ((-5048.707495388435 -375095.6024128223, -4956.050251339953 -375095.6024128223, -4956.050251339953 -375007.8758757612, -5048.707495388435 -375007.8758757612, -5048.707495388435 -375095.6024128223))",0.40502703189849854
13574,2019-10-02,2019,10,Compliant,"POLYGON ((-5140.918877199597 -375062.10120649857, -5027.4299066731965 -375062.10120649857, -5027.4299066731965 -374981.70464806317, -5140.918877199597 -374981.70464806317, -5140.918877199597 -375062.10120649857))",0.38240155577659607
13575,2019-10-02,2019,10,Compliant,"POLYGON ((-5370.071074286848 -374914.2255773071, -5290.650689917474 -374914.2255773071, -5290.650689917474 -374844.4125294867, -5370.071074286848 -374844.4125294867, -5370.071074286848 -374914.2255773071))",0.48697710037231445
13576,2019-10-02,2019,10,Compliant,"POLYGON ((-5811.947171725906 -374942.8483111715, -5737.155851123902 -374942.8483111715, -5737.155851123902 -374864.5016578592, -5811.947171725906 -374864.5016578592, -5811.947171725906 -374942.8483111715))",0.5870253443717957
13577,2019-10-02,2019,10,Compliant,"POLYGON ((-5826.180485865181 -374983.3744409443, -5750.086749963918 -374983.3744409443, -5750.086749963918 -374910.21188224293, -5826.180485865181 -374910.21188224293, -5826.180485865181 -374983.3744409443))",0.5657979846000671
13578,2019-10-02,2019,10,Compliant,"POLYGON ((-5846.373021469644 -374923.02829613705, -5749.579943665211 -374923.02829613705, -5749.579943665211 -374827.8063904003, -5846.373021469644 -374827.8063904003, -5846.373021469644 -374923.02829613705))",0.5513046383857727
13579,2019-10-02,2019,10,Compliant,"POLYGON ((-5892.184692947153 -374992.78991236613, -5790.385205254254 -374992.78991236613, -5790.385205254254 -374888.56962110056, -5892.184692947153 -374888.56962110056, -5892.184692947153 -374992.78991236613))",0.4885309934616089
13580,2019-10-02,2019,10,Compliant,"POLYGON ((-5881.614217443098 -374944.86219224025, -5808.013162394415 -374944.86219224025, -5808.013162394415 -374868.28770468483, -5881.614217443098 -374868.28770468483, -5881.614217443098 -374944.86219224025))",0.5280800461769104
13581,2019-10-02,2019,10,Compliant,"POLYGON ((-6169.268439737411 -374923.14918143774, -6098.407700267485 -374923.14918143774, -6098.407700267485 -374846.3046862508, -6169.268439737411 -374846.3046862508, -6169.268439737411 -374923.14918143774))",0.39617618918418884
13582,2019-10-02,2019,10,Compliant,"POLYGON ((-6165.866308178332 -374896.58971950924, -6088.05045194415 -374896.58971950924, -6088.05045194415 -374818.77386327507, -6165.866308178332 -374818.77386327507, -6165.866308178332 -374896.58971950924))",0.3638903498649597
13583,2019-10-07,2019,10,Compliant,"POLYGON ((-41512.54834498733 -366559.6583006403, -41430.49817932182 -366559.6583006403, -41430.49817932182 -366463.74089738633, -41512.54834498733 -366463.74089738633, -41512.54834498733 -366559.6583006403))",0.47203317284584045
13584,2019-10-08,2019,10,Compliant,"POLYGON ((-4138.782639258453 -375534.7439343392, -4039.289612813208 -375534.7439343392, -4039.289612813208 -375435.88924813614, -4138.782639258453 -375435.88924813614, -4138.782639258453 -375534.7439343392))",0.32183173298835754
13585,2019-10-08,2019,10,Compliant,"POLYGON ((-4157.245739442589 -375507.3769664991, -4071.066191218382 -375507.3769664991, -4071.066191218382 -375409.4695033999, -4157.245739442589 -375409.4695033999, -4157.245739442589 -375507.3769664991))",0.3592095673084259
13586,2019-10-08,2019,10,Compliant,"POLYGON ((-5035.490106313015 -375601.3968130825, -4960.163892549722 -375601.3968130825, -4960.163892549722 -375518.21757119213, -5035.490106313015 -375518.21757119213, -5035.490106313015 -375601.3968130825))",0.487362802028656
13587,2019-10-08,2019,10,Compliant,"POLYGON ((-5021.053402202507 -375574.83062990336, -4943.237545968325 -375574.83062990336, -4943.237545968325 -375497.0147736692, -5021.053402202507 -375497.0147736692, -5021.053402202507 -375574.83062990336))",0.41207078099250793
13588,2019-10-08,2019,10,Compliant,"POLYGON ((-5144.884401282134 -375580.3608109572, -5072.489241626499 -375580.3608109572, -5072.489241626499 -375505.3967969962, -5144.884401282134 -375505.3967969962, -5144.884401282134 -375580.3608109572))",0.2427881807088852
13589,2019-10-08,2019,10,Compliant,"POLYGON ((-41784.41452062942 -366579.9801370189, -41669.88201661351 -366579.9801370189, -41669.88201661351 -366458.53707491833, -41784.41452062942 -366458.53707491833, -41784.41452062942 -366579.9801370189))",0.3070802390575409
13590,2019-10-08,2019,10,Compliant,"POLYGON ((-41872.258793060144 -366650.77942147397, -41777.43182229525 -366650.77942147397, -41777.43182229525 -366554.07776167314, -41872.258793060144 -366554.07776167314, -41872.258793060144 -366650.77942147397))",0.4091527462005615
